timestamp,source_ip,destination_ip,source_port,destination_port,protocol,bytes_transferred,packets,duration,flags,user_agent,action,severity,confidence,description,attack_type,country,organization,day_of_week,hour,is_weekend,is_business_hours,risk_score
2024-01-01 00:00:20,139.121.13.94,172.23.208.117,50490,272,TCP,78,1,0.38,SYN,,block,high,0.85,Port scan detected from 139.121.13.94,port_scan,RU,Unknown,Monday,0,False,False,0.6
2024-01-01 04:49:41,10.75.169.216,115.244.34.29,0,0,ICMP,37933,55,287.88,FIN,,allow,low,0.13,Normal network traffic,none,UK,ISP,Monday,4,False,False,0.1
2024-01-01 06:02:43,172.28.125.248,27.182.104.5,0,0,FTP,23488,50,87.91,PSH,,allow,low,0.15,Normal network traffic,none,FR,ISP,Monday,6,False,False,0.1
2024-01-01 07:01:14,10.75.116.239,168.146.115.236,0,0,SSH,44917,50,206.06,URG,,allow,low,0.26,Normal network traffic,none,US,Government,Monday,7,False,False,0.1
2024-01-01 12:12:40,10.42.26.81,192.168.127.204,0,0,HTTPS,33904,92,290.9,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,allow,low,0.27,Normal network traffic,none,JP,Government,Monday,12,False,True,0.1
2024-01-01 14:55:44,172.20.113.144,172.19.238.192,0,0,SSH,34839,36,285.32,,,allow,low,0.26,Normal network traffic,none,UK,Government,Monday,14,False,True,0.1
2024-01-01 17:27:51,172.22.253.35,10.184.146.245,37235,21,UDP,17062,90,98.24,RST,,allow,low,0.14,Normal network traffic,none,US,ISP,Monday,17,False,True,0.1
2024-01-01 18:03:52,172.19.212.27,172.17.32.81,0,0,SSH,37002,70,22.27,URG,,allow,low,0.26,Normal network traffic,none,DE,Cloud Provider,Monday,18,False,False,0.1
2024-01-01 18:17:49,192.168.249.71,178.123.152.222,0,0,POP3,7440,45,63.23,PSH,,allow,low,0.19,Normal network traffic,none,US,Corporate,Monday,18,False,False,0.1
2024-01-01 22:36:25,192.168.93.57,208.113.53.240,0,0,POP3,32581,19,99.42,SYN,,allow,low,0.15,Normal network traffic,none,UK,ISP,Monday,22,False,False,0.1
2024-01-02 00:11:59,172.25.20.84,178.243.64.53,10401,25,UDP,34345,58,123.67,ACK,,allow,low,0.22,Normal network traffic,none,US,Cloud Provider,Tuesday,0,False,False,0.1
2024-01-02 02:11:00,172.20.144.54,42.191.110.105,0,0,HTTPS,39167,3,175.71,ACK,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,allow,low,0.19,Normal network traffic,none,CA,Corporate,Tuesday,2,False,False,0.1
2024-01-02 05:09:50,10.252.162.142,141.3.146.234,0,0,HTTP,22666,64,216.94,RST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,allow,low,0.17,Normal network traffic,none,AU,Cloud Provider,Tuesday,5,False,False,0.1
2024-01-02 07:38:45,10.67.191.123,179.50.202.102,0,0,HTTP,49043,75,289.47,FIN,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,allow,low,0.13,Normal network traffic,none,AU,Corporate,Tuesday,7,False,False,0.1
2024-01-02 08:32:39,10.202.21.179,34.21.91.67,0,0,SSH,11196,65,147.9,FIN,,allow,low,0.28,Normal network traffic,none,CA,Corporate,Tuesday,8,False,False,0.1
2024-01-02 08:40:46,172.21.173.161,128.127.99.97,0,0,HTTPS,47130,98,56.39,URG,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,allow,low,0.18,Normal network traffic,none,CA,ISP,Tuesday,8,False,False,0.1
2024-01-02 11:56:55,192.168.97.14,11.68.202.108,0,0,HTTP,48817,43,270.31,ACK,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,allow,low,0.29,Normal network traffic,none,JP,University,Tuesday,11,False,True,0.1
2024-01-02 12:03:26,172.20.122.79,197.140.9.210,0,0,FTP,46223,26,62.66,URG,,allow,low,0.15,Normal network traffic,none,AU,University,Tuesday,12,False,True,0.1
2024-01-02 13:02:00,192.168.191.178,86.87.220.62,37444,110,TCP,12690,79,193.37,,,allow,low,0.11,Normal network traffic,none,FR,Government,Tuesday,13,False,True,0.1
2024-01-02 18:37:10,10.161.124.197,10.31.70.117,0,0,SMTP,12584,22,211.57,SYN,,allow,low,0.17,Normal network traffic,none,CA,University,Tuesday,18,False,False,0.1
2024-01-02 23:06:59,172.31.48.222,179.94.225.173,0,0,HTTP,7097,24,250.44,RST,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X),allow,low,0.14,Normal network traffic,none,CA,Government,Tuesday,23,False,False,0.1
2024-01-03 00:03:36,40.86.76.233,192.168.14.247,62628,537,TCP,120,5,1.68,FIN,,block,high,0.94,Port scan detected from 40.86.76.233,port_scan,IR,Botnet,Wednesday,0,False,False,0.6
2024-01-03 03:34:11,172.28.251.199,10.228.250.76,0,0,FTP,11342,71,123.42,PSH,,allow,low,0.25,Normal network traffic,none,CA,Corporate,Wednesday,3,False,False,0.1
2024-01-03 06:40:23,192.168.126.83,215.97.67.80,0,0,DNS,3559,49,211.8,ACK,,allow,low,0.16,Normal network traffic,none,FR,University,Wednesday,6,False,False,0.1
